index,email_body,reference_subject,generated_subject,rough_rouge_l_f1,error_type
0,"Phillip, Could you please do me a favor? I would like to read your current title policy to see what it says about easements. You should have received a copy during your closing. I don't know how many pages it will be but let me know how you want to handle getting a copy made. I'll be happy to make the copy, or whatever makes it easy for you. Thanks,",Huntley/question,Utilities,0.0,Generated output too short
3,"Michelle Here are my very minor comments. However we still need to wait on any additions, based on meeting with SME's today. One concern is the firing of the learner who performs bad in the final two scenarios. Do we face any copyright issues using the CNN type themes? In addition, I think we need to stay clear of anything that remotely seems like California or anything that really happen with <COMPANY>? (i.e. So-cal Waha) In addition, comments on regulatory issues may be a problem (i.e. California Legislature). Sheri When you read all the scripts together and due to the similar mechanics being taught it appears very repetitious. Thus I do believe we need to maybe use a ""Dateline"" type theme for one, and a ""<NUMBER> Minute"" type theme for another scenario vice just the CNN type theme. In the last two scenarios can we include a promotion out of the associate program for the stellar performers (i.e. title change to manager)? Cheers Kirk",RM Simulation Storyline Scripts - Ready for Legal Review,SME's,0.0,Generated output too short
4,"For purposes of an accelerated distribution from the PSA, a ""single sum distribution,"" in Section <NUMBER> means that a PSA account is distributed all at once, as distinguished from another form of payout as may have been selected by a participant in his or her deferral agreement. Section <NUMBER> is clear in that the account balance shall be determined as of the last day of the month preceding the date on which the Committee receives the written request of the Participant. A PSA account balance is reflected in shares of stock since the form of distribution is shares of stock. Additionally, any portion of a PSA balance attributable to deferral of restricted stock is administered under Sections <NUMBER> and <NUMBER> and Exhibit A of the Plan. This section is applicable now as we are accelerating the distribution of PSA balances created with deferrals of restricted stock. The Plan indicates that upon death, disability, retirement or termination, the share units are converted to shares which are issued to the executive according to the payment election made by the executive at the time of the deferral election. Therefore the distribution you will receive in shares is correct and we do not agree with your interpretation of the plan.",Answer,accelerated distribution from the PSA,0.0,Generated output has low overlap with reference
6,"As our last day is Friday, November 00th, we would love to toast the good times and special memories that we have shared with you over the past five years. Please join us at Teala's (W. Dallas) on Thursday, November 00th, beginning at 0pm. Looking forward to being with you, Lara and Janel Lara Leibman",Farewell Drinks,Teala's (W. Dallas),0.0,Generated output has low overlap with reference
8,"All, The below Analyst & Associate recruiting dates require <COMPANY> participation at Manager level at above. In order to resource each of your departments it is important to have <COMPANY>'s involvement and participation in the interviews and debrief sessions on Fantastic Friday and Super Saturday events. These de-brief sessions will allow you the opportunity to select candidates you wish to join your groups. The target is to assign potential candidates to business units and departments from the outset. As <COMPANY> has the highest percentage of A&A rotating in its business unit, the participation of <COMPANY> at interview should reflect this. Therefore, please encourage your direct reports and managers to participate in the below events in order to secure candidates for your business area. Associate Recruiting: Saturday November <NUMBER> Total - <NUMBER> Candidates for Interview Analyst Recruiting: Friday, November <NUMBER> Total - <NUMBER> Candidates for Interivew Associate Recruiting: Saturday, December <NUMBER> Total - <NUMBER> Candidates for Interview The above spreadsheet represents <COMPANY>'s particpation today which I believe highlights the need for much additional support in these efforts. Please confirm by return participation of your respective groups. Regards,",URGENT - ENA Associates & Analysts,Analyst & Associate Requirements,0.0,Generated output has low overlap with reference
10,"Hi John, The events surrounding the <COMPANY> demise are quite disturbing not only to me but to many of us over here. Our hearts go out to all the employees who will not only loose their employment but also most, if not all, of their savings. As you know, I've always thought a lot of you; not only for your trading skills, but also as a person. You are one of the largest and most influential traders in the market, yet do not have the annoying ego so often found in traders of your stature. I'm absolutely sure that you'll do well no matter where your career takes you. I just wanted you to know that if there is ever anything I can do for you, please don't hesitate to call. This is not a solicitation for employment. This is from a person who always felt you treated me honestly and fairly and if the occasion arises, would like to reciprocate.",Greetings,Demise of employment,0.0,Generated output has low overlap with reference
11,"Kevin Presto is requesting that you attend a meeting regarding Organizing an Action Plan for the Start-up of Netco. The meeting will be held in ECS <NUMBER> at <NUMBER>:<NUMBER> am, Wednesday, January <NUMBER>, <NUMBER>. For Tim and Chris, could you please call <PHONE>. This is the telephone number in the conference room. If you should have any questions, please call T Jae Black at <NUMBER>-<NUMBER>. Thanks","Meeting on Wednesday, January 2 - 9:30 am",Netco Action Plan,0.0,Generated output has low overlap with reference
13,"Harry: Got the bid documents for ConEd's offering of peaking capacity for PJM East (Lakewood, New Jersey). Can't imagine they would entertain an <COMPANY> bid right now without confiscatory credit pricing. Do you want to bid anyway? Let me know.",ConEd - Lakewood Peaker,PJM East Peaking Capacity,0.0,Generated output has low overlap with reference
17,"It appears that the following email may not have been clear. You have to copy all documents yourself. This is my cheat sheet if it helps: H Drives: <NUMBER>. Each person will have to move any data over personally from the old H drive (which is now Z:) drive to their new H drive. <NUMBER>. The Z: drive (old H:) will be removed from UBS employees on Thursday night. O Drives: <NUMBER>. For the old O or M drives go to O:\ESTATE\ O (or M ? pending location of data) and copy to the new common O. The Estate O and M will be removed from UBS employees on Thursday night. Do not delete anything and only copy information which is complies with the policy. Please make sure that those people who are not in the office are contacted and comply. Louise To: All <COMPANY> Employees Transferring to UBS Warburg Energy (or its affiliates) Under the terms of the various agreements among certain <COMPANY> entities and UBS AG, certain <COMPANY> data and documents may be provided to UBS. To ensure compliance with those agreements, <COMPANY>'s document retention policy, as well as directives of various investigative agencies, the attached protocol regarding the process for migration of any information or data to UBS has been developed. Please review the protocol carefully. Then, complete the attached Certification and return it, with attachments, to Linda Guinn at EB 0000a no later than February <NUMBER>, <NUMBER>. Questions about this matter may be directed to Michelle Cash at <PHONE> or Francisco Pinto-Leite at <PHONE> . Protocol Document and Data Copy Instructions Certification Document",YOU HAVE 48 HOURS - Message from Louise Kitchen,UBS Warburg Energy (U.S.),0.0,Generated output has low overlap with reference
23,Now I see how you guys have been winning all of your games - through cheating. You are supposed to have at least one player on IR each week. A designated IR player cannot play. There are no IR moves during the week. That means that at least one person on your team should score no points each week. out,IR Moves,You guys have been winning all of your games - through cheating,0.0,Generated output has low overlap with reference
